iata,airport
VCA,Can Tho International Airport
DAD,Da Nang International Airport
HPH,Cat Bi International Airport
HAN,Noi Bai International Airport
SGN,Tan Son Nhat International Airport
HUI,Phu Bai International Airport
CRX,Cam Ranh International Airport
PQC,Phu Quoc International Airport
VDO,Van Don International Airport
VII,Vinh International Airport
BMV,Buon Ma Thuot Airport
CAH,Ca Mau Airport
VCS,Co Ong Airport
VCL,Chu Lai Airport
DLI,Lien Khuong Airport
DIN,Dien Bien Phu Airport
VDH,Dong Hoi Airport
PXU,Pleiku Airport
UIH,Phu Cat Airport
VKG,Rach Gia Airport
TBB,Dong Tac Airport
VTG,Vung Tau Airport
THD,Tho Xuan Airport
